"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Overlord of the Floodpits","U","M","7525","1.47","5355","1.46","30177","90.4%","57.0%","5156","62.0%","8292","63.6%","13448","63.0%","16861","52.4%","10.6pp"
"Paranormal Analyst","U","U","104317","4.03","26802","4.79","116464","71.9%","54.8%","20596","57.1%","30240","56.2%","50836","56.6%","65657","53.5%","3.1pp"
"Piranha Fly","U","C","405799","6.84","57000","9.72","154324","45.0%","54.0%","27186","54.8%","38246","54.1%","65432","54.4%","88918","53.8%","0.6pp"
"Scrabbling Skullcrab","U","U","130940","5.14","21475","6.91","72749","58.0%","51.0%","12706","50.5%","19347","52.3%","32053","51.6%","40713","50.5%","1.1pp"
"Silent Hallcreeper","U","R","17201","1.68","11067","1.68","62537","91.5%","56.0%","11298","63.0%","16669","58.7%","27967","60.5%","34813","52.5%","7.9pp"
"Stalked Researcher","U","C","396977","6.52","60195","9.18","210386","58.1%","53.6%","36726","54.0%","53923","54.0%","90649","54.0%","119740","53.4%","0.6pp"
"Stay Hidden, Stay Silent","U","U","84653","2.99","29195","3.52","162955","91.3%","55.9%","28076","56.1%","43614","60.6%","71690","58.8%","91255","53.6%","5.3pp"
"The Tale of Tamiyo","U","R","68300","6.02","8344","9.15","1428","2.9%","47.0%","250","","349","","599","48.2%","826","46.0%","2.2pp"
"Tunnel Surveyor","U","C","351859","5.29","63500","7.28","289970","75.6%","54.7%","50259","54.5%","74510","56.2%","124769","55.5%","165041","54.1%","1.4pp"
"Twist Reality","U","C","400668","6.66","58975","9.38","173387","48.9%","54.3%","28117","52.6%","46567","57.4%","74684","55.6%","98722","53.3%","2.3pp"
"Unable to Scream","U","C","281128","4.11","67322","5.30","365363","89.6%","55.1%","62377","54.7%","98331","58.3%","160708","56.9%","204707","53.8%","3.1pp"
"Underwater Tunnel // Slimy Aquarium","U","C","347224","5.12","60379","7.20","278818","77.3%","53.9%","49278","52.9%","73110","55.9%","122388","54.7%","155852","53.3%","1.4pp"
"Unnerving Grasp","U","U","80867","3.04","32569","3.40","180824","89.9%","56.7%","31464","58.6%","48599","61.8%","80063","60.6%","100759","53.7%","6.8pp"
"Unwilling Vessel","U","U","96484","3.53","22438","4.48","112185","84.8%","53.0%","19270","51.9%","29542","54.2%","48812","53.3%","63498","52.8%","0.5pp"
"Vanish from Sight","U","C","402709","6.58","71137","8.91","255424","59.1%","55.5%","40884","54.2%","68305","58.5%","109189","56.9%","146295","54.4%","2.5pp"
"Appendage Amalgam","B","C","398312","6.53","42681","9.79","112403","44.7%","51.0%","19332","50.2%","27657","52.5%","46989","51.5%","65280","50.6%","1.0pp"
"Balemurk Leech","B","C","398985","6.70","43246","9.95","98946","38.9%","50.2%","17419","49.6%","24421","51.0%","41840","50.4%","56996","49.9%","0.5pp"
"Cackling Slasher","B","C","427056","8.05","40624","12.06","19349","8.0%","47.7%","3042","44.8%","4743","47.5%","7785","46.4%","11552","48.6%","-2.1pp"
"Come Back Wrong","B","R","24349","2.26","8876","2.44","45827","87.2%","53.1%","7763","53.1%","11550","58.4%","19313","56.3%","26337","50.8%","5.5pp"
"Commune with Evil","B","U","143171","5.50","22355","7.49","72097","53.9%","53.4%","12513","54.4%","18150","58.0%","30663","56.5%","41219","51.2%","5.3pp"
"Cracked Skull","B","C","421199","7.70","48136","11.19","51149","17.9%","51.4%","8377","49.9%","13222","53.5%","21599","52.1%","29457","50.8%","1.3pp"
"Cynical Loner","B","U","133318","4.94","20695","6.85","82338","66.8%","53.2%","14734","55.9%","19908","54.2%","34642","54.9%","47595","51.9%","3.0pp"
"Dashing Bloodsucker","B","U","140830","5.36","18295","7.66","54674","51.2%","50.5%","8864","51.3%","14339","53.1%","23203","52.4%","31486","49.1%","3.3pp"
"Defiled Crypt // Cadaver Lab","B","U","109875","4.06","21500","5.30","88292","70.4%","51.9%","14209","49.9%","22601","55.9%","36810","53.6%","51010","50.5%","3.1pp"
"Demonic Counsel","B","R","62615","5.45","7400","8.42","4292","9.8%","50.3%","687","47.5%","1043","54.2%","1730","51.5%","2532","49.4%","2.1pp"
"Derelict Attic // Widow's Walk","B","C","397474","6.58","43989","9.87","93219","35.9%","51.7%","16128","51.2%","23642","54.8%","39770","53.3%","53141","50.5%","2.9pp"
"Doomsday Excruciator","B","R","57276","4.91","7012","7.47","8094","19.6%","46.8%","1168","40.7%","2002","45.6%","3170","43.8%","4890","48.9%","-5.1pp"
"Enduring Tenacity","B","R","33064","3.07","6345","3.77","24196","66.0%","49.9%","3942","47.4%","6211","54.0%","10153","51.5%","13998","48.7%","2.8pp"
"Fanatic of the Harrowing","B","C","412033","7.10","50458","10.19","111509","37.1%","52.8%","18427","53.4%","28194","55.9%","46621","54.9%","64533","51.3%","3.7pp"
"Fear of Lost Teeth","B","C","388218","6.24","50342","8.98","170270","56.8%","53.1%","29961","54.0%","41429","54.4%","71390","54.3%","98679","52.2%","2.1pp"
"Fear of the Dark","B","C","408983","7.06","40568","10.73","65896","27.6%","49.8%","10156","48.4%","16989","52.3%","27145","50.8%","38856","49.0%","1.8pp"
"Final Vengeance","B","C","356382","5.50","59285","7.40","243435","68.3%","54.2%","39753","53.6%","62611","58.7%","102364","56.7%","140464","52.3%","4.4pp"
"Funeral Room // Awakening Hall","B","M","10659","2.10","4208","2.19","19680","78.2%","52.7%","3310","49.9%","5155","59.0%","8465","55.4%","11087","50.4%","5.0pp"
"Give In to Violence","B","C","427566","8.01","43507","11.83","27469","10.6%","49.6%","4315","48.5%","6620","51.7%","10935","50.4%","16481","48.9%","1.5pp"
"Grievous Wound","B","R","56938","5.26","6167","8.34","4040","11.1%","44.4%","632","42.4%","997","44.3%","1629","43.6%","2399","44.9%","-1.4pp"
"Innocuous Rat","B","C","367997","5.65","54451","7.92","233139","71.4%","54.1%","41405","54.9%","56566","56.1%","97971","55.6%","134785","53.0%","2.6pp"
"Killer's Mask","B","U","153942","6.08","17518","9.06","33620","32.5%","51.2%","5671","50.3%","8159","52.1%","13830","51.3%","19743","51.0%","0.3pp"
"Let's Play a Game","B","U","144736","5.49","20272","7.83","52264","43.5%","53.0%","8332","51.8%","13148","58.1%","21480","55.7%","30503","50.9%","4.8pp"
"Leyline of the Void","B","R","69013","6.04","7755","9.46","545","1.2%","41.1%","0","","129","","129","","414","",""
"Live or Die","B","U","95269","3.51","20684","4.41","99480","81.5%","52.6%","15748","51.3%","25838","57.6%","41586","55.2%","57326","50.5%","4.7pp"
"Meathook Massacre II","B","M","16478","3.06","3379","3.65","10495","53.9%","49.4%","1640","44.6%","2779","52.6%","4419","49.6%","6020","49.5%","0.1pp"
"Miasma Demon","B","U","128279","4.87","17888","6.73","61369","58.3%","52.1%","9445","51.1%","15648","54.8%","25093","53.4%","36078","51.1%","2.3pp"
"Murder","B","C","283898","4.19","45319","5.79","217252","80.9%","52.9%","36020","52.1%","55582","57.2%","91602","55.2%","124853","51.2%","4.0pp"
"Nowhere to Run","B","U","74758","2.74","23047","3.28","123048","88.7%","54.2%","21808","56.1%","31547","58.8%","53355","57.7%","69214","51.4%","6.3pp"
"Osseous Sticktwister","B","U","81533","2.94","22993","3.59","122812","88.6%","54.5%","21952","55.3%","30813","57.5%","52765","56.6%","69728","52.8%","3.8pp"
"Overlord of the Balemurk","B","M","7651","1.49","5094","1.49","27617","88.3%","56.0%","4923","63.1%","7017","61.4%","11940","62.1%","15641","51.4%","10.6pp"
"Popular Egotist","B","U","135859","5.09","21810","6.87","80162","61.7%","53.5%","13492","52.1%","19814","56.3%","33306","54.6%","46845","52.7%","1.9pp"
"Resurrected Cultist","B","C","414917","7.20","47732","10.53","95139","33.5%","52.2%","16171","49.6%","23007","53.3%","39178","51.8%","55961","52.4%","-0.6pp"
"Spectral Snatcher","B","C","392670","6.31","46955","9.33","150750","54.2%","51.9%","25968","50.0%","37588","54.1%","63556","52.4%","87044","51.5%","0.9pp"
"Sporogenic Infection","B","U","106845","3.88","20375","5.12","96320","79.1%","53.5%","16392","53.9%","24422","57.0%","40814","55.8%","55194","51.7%","4.0pp"
"Unholy Annex // Ritual Chamber","B","R","17341","1.69","10995","1.66","61228","89.2%","56.7%","10772","64.6%","16102","64.9%","26874","64.8%","33938","50.3%","14.5pp"
"Unstoppable Slasher","B","R","15623","1.50","10249","1.49","57411","91.1%","55.8%","10206","63.5%","14752","60.1%","24958","61.5%","32413","51.5%","10.0pp"
"Valgavoth, Terror Eater","B","M","9838","1.94","3985","1.89","17500","73.6%","53.0%","2626","52.6%","4525","56.2%","7151","54.9%","10224","51.8%","3.1pp"
"Valgavoth's Faithful","B","U","116617","4.30","18385","5.82","75865","69.7%","52.5%","13066","51.0%","18955","56.0%","32021","54.0%","43454","51.3%","2.7pp"
"Vile Mutilator","B","U","106308","3.96","19526","5.16","87336","75.2%","52.8%","13078","52.2%","22331","56.6%","35409","55.0%","51664","51.3%","3.7pp"
"Winter's Intervention","B","C","367158","5.69","49499","8.17","179928","60.9%","53.2%","31511","53.8%","44984","55.7%","76495","54.9%","102934","51.9%","3.0pp"
"Withering Torment","B","U","87737","3.07","20750","3.88","106777","87.5%","52.6%","18315","51.1%","27163","56.1%","45478","54.1%","60944","51.5%","2.5pp"
"Bedhead Beastie","R","C","418798","7.22","51630","10.58","89589","28.9%","51.7%","15051","48.9%","21267","52.4%","36318","50.9%","53380","52.3%","-1.4pp"
"Betrayer's Bargain","R","U","92381","3.38","30808","3.95","171271","90.1%","55.9%","28343","55.8%","40069","59.4%","68412","57.9%","102780","54.5%","3.4pp"
"Boilerbilges Ripper","R","C","427285","7.79","54933","11.10","64412","19.4%","52.9%","9859","51.0%","15573","54.3%","25432","53.0%","39002","52.9%","0.1pp"
"Chainsaw","R","R","19066","1.81","11383","1.84","64897","92.2%","56.2%","11519","60.7%","15223","59.7%","26742","60.1%","38125","53.4%","6.7pp"
"Charred Foyer // Warped Space","R","M","15076","2.92","4224","3.27","17155","69.6%","50.6%","2861","48.2%","4287","51.0%","7148","49.9%","9989","50.9%","-1.0pp"
"Clockwork Percussionist","R","C","355113","5.28","76703","6.79","381867","80.7%","56.3%","68601","58.7%","84042","55.7%","152643","57.0%","229018","55.8%","1.2pp"
"Cursed Recording","R","R","63982","5.55","10357","7.72","12232","19.9%","51.5%","2052","50.2%","3170","50.4%","5222","50.3%","7007","52.3%","-2.0pp"
"Diversion Specialist","R","U","138660","5.16","23896","7.06","90075","62.6%","53.7%","14361","51.5%","21202","54.5%","35563","53.3%","54626","53.9%","-0.6pp"
"Enduring Courage","R","R","19245","1.89","10116","1.92","55727","90.7%","54.7%","9237","55.2%","12986","56.8%","22223","56.1%","33707","53.8%","2.4pp"
"Fear of Being Hunted","R","U","102707","3.73","27754","4.59","148421","87.1%","55.8%","25406","57.0%","32850","56.6%","58256","56.8%","90279","55.1%","1.7pp"
"Fear of Burning Alive","R","U","89417","3.36","28328","3.93","149144","85.9%","55.5%","22827","54.1%","34917","59.7%","57744","57.5%","91278","54.3%","3.2pp"
"Fear of Missing Out","R","R","20358","1.91","11472","1.97","65190","91.7%","56.5%","12004","59.8%","14783","59.8%","26787","59.8%","38454","54.2%","5.6pp"
"Glassworks // Shattered Yard","R","C","248439","3.66","67409","4.63","370839","89.9%","55.1%","64022","55.4%","87274","58.3%","151296","57.1%","218530","53.7%","3.4pp"
"Grab the Prize","R","C","423889","7.64","54399","10.97","75403","22.9%","53.4%","12964","51.6%","16908","54.2%","29872","53.1%","45496","53.5%","-0.4pp"
"Hand That Feeds","R","C","377839","5.94","64501","8.24","274797","69.8%","54.8%","48903","54.1%","60645","54.9%","109548","54.6%","165130","55.0%","-0.4pp"
"Impossible Inferno","R","C","410258","6.87","61498","9.77","149064","40.1%","53.6%","22805","50.9%","34784","55.7%","57589","53.8%","91405","53.5%","0.4pp"
"Infernal Phantom","R","U","131721","4.89","20389","6.74","70659","58.5%","52.1%","11331","50.0%","16713","52.2%","28044","51.3%","42641","52.6%","-1.2pp"
"Irreverent Gremlin","R","U","96522","3.51","30401","4.19","170640","90.4%","56.6%","30849","58.9%","37380","56.3%","68229","57.4%","102373","56.0%","1.4pp"
"Leyline of Resonance","R","R","64602","5.82","7613","9.11","738","1.6%","43.9%","1","","165","","166","","572","46.0%",""
"Most Valuable Slayer","R","C","347155","5.30","67869","7.15","326024","78.8%","54.8%","53697","53.5%","72953","55.3%","126650","54.5%","199466","55.0%","-0.5pp"
"Norin, Swift Survivalist","R","U","146149","5.33","24207","7.31","89442","60.7%","55.3%","15947","56.4%","18981","52.4%","34928","54.2%","54479","56.0%","-1.8pp"
"Overlord of the Boilerbilges","R","M","6950","1.37","5502","1.35","32571","92.9%","58.3%","5626","62.8%","7786","65.3%","13412","64.3%","19198","54.2%","10.1pp"
"Painter's Studio // Defaced Gallery","R","U","105643","3.90","29636","4.68","151669","83.3%","55.9%","26154","55.7%","34320","58.4%","60474","57.2%","90973","55.0%","2.2pp"
"Piggy Bank","R","U","91335","3.29","29190","3.96","165614","91.9%","56.0%","30017","59.7%","37015","56.0%","67032","57.6%","98692","54.9%","2.7pp"
"Pyroclasm","R","U","145890","5.71","19554","8.16","39475","34.1%","50.8%","6913","50.4%","9793","53.9%","16706","52.5%","22738","49.6%","2.8pp"
"Ragged Playmate","R","C","392906","6.42","64879","8.87","251187","63.3%","55.5%","44309","54.6%","53560","54.2%","97869","54.4%","153209","56.2%","-1.8pp"
"Rampaging Soulrager","R","C","428053","8.08","52769","11.44","63693","20.3%","49.1%","10704","46.7%","16275","51.0%","26979","49.3%","36757","49.0%","0.2pp"
"Razorkin Hordecaller","R","U","88898","3.29","30270","3.82","168747","90.0%","56.5%","27341","57.4%","38864","59.6%","66205","58.7%","102822","55.1%","3.6pp"
"Razorkin Needlehead","R","R","28340","2.58","9040","2.91","47635","87.2%","54.8%","8472","56.8%","10683","55.6%","19155","56.2%","28525","54.0%","2.2pp"
"Ripchain Razorkin","R","C","425732","7.73","53121","11.13","63199","19.7%","53.0%","10111","50.4%","14980","54.5%","25091","52.8%","38207","53.1%","-0.2pp"
"The Rollercrusher Ride","R","M","8053","1.59","6141","1.57","35438","93.6%","55.6%","5866","55.8%","8818","63.0%","14684","60.1%","20703","52.4%","7.7pp"
"Scorching Dragonfire","R","C","219792","3.30","73496","3.96","414054","91.7%","55.6%","72545","57.1%","95061","57.5%","167606","57.3%","246288","54.5%","2.9pp"
"Screaming Nemesis","R","M","8295","1.63","5563","1.62","32089","92.0%","57.1%","5744","62.0%","7519","61.6%","13263","61.8%","18915","53.9%","7.9pp"
"Ticket Booth // Tunnel of Hate","R","C","378931","5.96","62586","8.33","227677","60.0%","54.2%","38449","53.8%","52979","56.1%","91428","55.1%","136081","53.6%","1.5pp"
"Trial of Agony","R","U","135746","5.07","23145","6.92","86048","61.6%","54.2%","13794","51.8%","19060","55.3%","32854","53.8%","53198","54.4%","-0.6pp"
"Turn Inside Out","R","C","370587","5.83","68786","7.87","299086","70.8%","56.3%","47944","56.4%","65656","57.3%","113600","56.9%","185414","55.9%","1.1pp"
"Untimely Malfunction","R","U","159610","6.41","20024","9.49","31404","26.0%","52.8%","4911","51.3%","7046","54.0%","11957","52.9%","19446","52.8%","0.1pp"
"Vengeful Possession","R","U","141445","5.40","24743","7.23","84277","56.1%","55.3%","13250","54.0%","20165","59.2%","33415","57.1%","50779","54.1%","3.1pp"
"Vicious Clown","R","C","401898","6.89","57133","9.71","168392","48.4%","55.0%","28381","54.0%","36032","53.2%","64413","53.5%","103915","55.9%","-2.4pp"
"Violent Urge","R","U","148535","5.66","22603","7.93","69305","50.8%","53.6%","10734","51.9%","15190","53.5%","25924","52.9%","43369","54.0%","-1.1pp"
"Waltz of Rage","R","R","31373","2.97","11028","3.15","49132","74.3%","54.0%","7840","55.1%","11537","57.3%","19377","56.4%","29725","52.4%","4.1pp"
"Altanak, the Thrice-Called","G","U","89093","3.35","20889","4.15","100181","79.8%","54.0%","15403","51.5%","24260","55.7%","39663","54.0%","60528","53.9%","0.1pp"
"Anthropede","G","C","419687","7.41","45487","10.97","54850","20.2%","51.5%","8766","48.0%","13109","51.8%","21875","50.3%","32974","52.3%","-2.0pp"
"Balustrade Wurm","G","R","16857","1.62","10504","1.62","59268","91.2%","56.2%","9915","56.5%","14867","60.2%","24782","58.7%","34572","54.4%","4.3pp"
"Bashful Beastie","G","C","373579","5.64","58434","8.02","258054","73.0%","54.3%","41041","53.4%","64367","55.9%","105408","54.9%","152859","53.7%","1.2pp"
"Break Down the Door","G","U","107650","3.80","25349","4.88","132854","86.9%","54.6%","22448","53.5%","32268","57.4%","54716","55.8%","78180","53.7%","2.2pp"
"Cathartic Parting","G","U","146352","5.47","24921","7.48","86572","58.3%","53.2%","14132","51.3%","21309","55.8%","35441","54.0%","51197","52.7%","1.3pp"
"Cautious Survivor","G","C","410338","7.00","46998","10.39","86868","30.9%","52.7%","14147","51.2%","20261","53.3%","34408","52.4%","52391","52.8%","-0.4pp"
"Coordinated Clobbering","G","U","105161","3.77","21597","4.92","103959","80.0%","53.9%","16706","54.7%","25160","56.0%","41866","55.5%","62199","52.8%","2.6pp"
"Cryptid Inspector","G","C","373483","5.88","50422","8.49","179015","59.4%","53.0%","30617","51.3%","44125","53.1%","74742","52.4%","104365","53.5%","-1.1pp"
"Defiant Survivor","G","U","84715","3.09","22082","3.82","119176","89.4%","54.3%","20844","55.9%","28190","54.5%","49034","55.1%","70109","53.6%","1.5pp"
"Enduring Vitality","G","R","20286","1.93","9455","2.01","50224","89.3%","54.0%","8644","56.6%","12061","56.2%","20705","56.3%","29535","52.3%","4.1pp"
"Fear of Exposure","G","U","107381","3.85","19742","5.12","97713","82.9%","53.5%","15753","51.5%","23512","53.6%","39265","52.7%","58532","53.9%","-1.1pp"
"Flesh Burrower","G","C","352799","5.19","53655","7.45","252696","78.5%","53.7%","44829","53.8%","58189","54.5%","103018","54.2%","149427","53.4%","0.8pp"
"Frantic Strength","G","C","423724","7.65","49339","11.13","67056","22.6%","52.8%","10649","51.8%","15209","55.1%","25858","53.7%","41195","52.2%","1.6pp"
"Grasping Longneck","G","C","401143","6.44","52048","9.44","161775","51.8%","53.5%","27510","52.3%","37954","54.2%","65464","53.4%","96308","53.6%","-0.2pp"
"Greenhouse // Rickety Gazebo","G","U","153035","6.13","17900","9.10","26605","25.2%","48.5%","4483","46.4%","6575","51.9%","11058","49.6%","15430","47.7%","1.9pp"
"Hauntwoods Shrieker","G","M","7967","1.52","5025","1.53","27506","89.3%","55.2%","4808","58.0%","6701","57.2%","11509","57.5%","16050","53.5%","4.0pp"
"Hedge Shredder","G","R","23805","2.29","8803","2.41","44322","85.2%","52.6%","7317","52.8%","10740","53.1%","18057","53.0%","26258","52.3%","0.7pp"
